Date,Price
02-Jan-2017,"27,570.0"
03-Jan-2017,"27,778.0"
04-Jan-2017,"27,682.0"
05-Jan-2017,"27,948.0"
06-Jan-2017,"27,887.0"
09-Jan-2017,"28,051.0"
10-Jan-2017,"28,144.0"
11-Jan-2017,"28,300.0"
12-Jan-2017,"28,393.0"
13-Jan-2017,"28,380.0"
16-Jan-2017,"28,529.0"
17-Jan-2017,"28,738.0"
18-Jan-2017,"28,791.0"
19-Jan-2017,"28,528.0"
20-Jan-2017,"28,625.0"
23-Jan-2017,"28,803.0"
24-Jan-2017,"28,725.0"
25-Jan-2017,"28,385.0"
27-Jan-2017,"28,353.0"
30-Jan-2017,"28,524.0"
31-Jan-2017,"28,942.0"
01-Feb-2017,"28,870.0"
02-Feb-2017,"28,981.0"
03-Feb-2017,"28,964.0"
06-Feb-2017,"29,193.0"
07-Feb-2017,"29,332.0"
08-Feb-2017,"29,330.0"
09-Feb-2017,"29,089.0"
10-Feb-2017,"29,173.0"
13-Feb-2017,"29,021.0"
14-Feb-2017,"29,001.0"
15-Feb-2017,"29,143.0"
16-Feb-2017,"29,416.0"
17-Feb-2017,"29,360.0"
20-Feb-2017,"29,303.0"
21-Feb-2017,"29,301.0"
22-Feb-2017,"29,208.0"
23-Feb-2017,"29,451.0"
24-Feb-2017,"29,623.0"
27-Feb-2017,"29,710.0"
28-Feb-2017,"29,566.0"
01-Mar-2017,"29,428.0"
02-Mar-2017,"29,170.0"
03-Mar-2017,"29,020.0"
06-Mar-2017,"28,945.0"
07-Mar-2017,"28,751.0"
08-Mar-2017,"28,629.0"
09-Mar-2017,"28,446.0"
10-Mar-2017,"28,366.0"
13-Mar-2017,"28,251.0"
14-Mar-2017,"28,076.0"
15-Mar-2017,"27,985.0"
16-Mar-2017,"28,411.0"
17-Mar-2017,"28,509.0"
20-Mar-2017,"28,505.0"
21-Mar-2017,"28,851.0"
22-Mar-2017,"28,885.0"
23-Mar-2017,"28,800.0"
24-Mar-2017,"28,793.0"
27-Mar-2017,"28,807.0"
28-Mar-2017,"28,848.0"
29-Mar-2017,"28,703.0"
30-Mar-2017,"28,542.0"
31-Mar-2017,"28,463.0"
03-Apr-2017,"28,702.0"
04-Apr-2017,"28,862.0"
05-Apr-2017,"28,677.0"
06-Apr-2017,"28,721.0"
07-Apr-2017,"28,684.0"
10-Apr-2017,"28,739.0"
11-Apr-2017,"29,193.0"
12-Apr-2017,"29,229.0"
13-Apr-2017,"29,409.0"
17-Apr-2017,"29,430.0"
18-Apr-2017,"29,514.0"
19-Apr-2017,"29,305.0"
20-Apr-2017,"29,295.0"
21-Apr-2017,"29,418.0"
24-Apr-2017,"29,131.0"
25-Apr-2017,"28,814.0"
26-Apr-2017,"28,719.0"
27-Apr-2017,"28,769.0"
28-Apr-2017,"28,873.0"
01-May-2017,"28,653.0"
02-May-2017,"28,582.0"
03-May-2017,"28,472.0"
04-May-2017,"28,072.0"
05-May-2017,"28,072.0"
08-May-2017,"28,091.0"
09-May-2017,"27,971.0"
10-May-2017,"27,996.0"
11-May-2017,"28,004.0"
12-May-2017,"28,005.0"
15-May-2017,"27,992.0"
16-May-2017,"28,094.0"
17-May-2017,"28,619.0"
18-May-2017,"28,705.0"
19-May-2017,"28,635.0"
22-May-2017,"28,785.0"
23-May-2017,"28,811.0"
24-May-2017,"28,713.0"
25-May-2017,"28,661.0"
26-May-2017,"28,888.0"
29-May-2017,"28,900.0"
30-May-2017,"28,741.0"
31-May-2017,"28,843.0"
01-Jun-2017,"28,652.0"
02-Jun-2017,"28,871.0"
05-Jun-2017,"29,024.0"
06-Jun-2017,"29,567.0"
